date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:09:34	11256/11256	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:43:45%20GMT	https://demo.dashboardpack.com/finance-html/data_table.html	D:/web%20ca%20nhan%20ban%20hang/adminWeb/demo.dashboardpack.com/finance-html/data_table.html	(from https://demo.dashboardpack.com/finance-html/index.html)
00:09:35	10239/10239	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:43:43%20GMT	https://demo.dashboardpack.com/finance-html/bootstrap_table.html	D:/web%20ca%20nhan%20ban%20hang/adminWeb/demo.dashboardpack.com/finance-html/bootstrap_table.html	(from https://demo.dashboardpack.com/finance-html/index.html)
00:09:35	8063/8063	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:43:50%20GMT	https://demo.dashboardpack.com/finance-html/datepicker.html	D:/web%20ca%20nhan%20ban%20hang/adminWeb/demo.dashboardpack.com/finance-html/datepicker.html	(from https://demo.dashboardpack.com/finance-html/index.html)
00:09:35	10474/10474	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:44:06%20GMT	https://demo.dashboardpack.com/finance-html/Input_Selects.html	D:/web%20ca%20nhan%20ban%20hang/adminWeb/demo.dashboardpack.com/finance-html/Input_Selects.html	(from https://demo.dashboardpack.com/finance-html/index.html)
00:09:36	13378/13378	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:44:06%20GMT	https://demo.dashboardpack.com/finance-html/Input_Mask.html	D:/web%20ca%20nhan%20ban%20hang/adminWeb/demo.dashboardpack.com/finance-html/Input_Mask.html	(from https://demo.dashboardpack.com/finance-html/index.html)
00:09:36	1138/1138	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22632db823-472%22	https://demo.dashboardpack.com/finance-html/img/menu-icon/7.svg	D:/web%20ca%20nhan%20ban%20hang/adminWeb/demo.dashboardpack.com/finance-html/img/menu-icon/7.svg	(from https://demo.dashboardpack.com/finance-html/index.html)
00:09:36	8742/8742	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:43:44%20GMT	https://demo.dashboardpack.com/finance-html/chartjs.html	D:/web%20ca%20nhan%20ban%20hang/adminWeb/demo.dashboardpack.com/finance-html/chartjs.html	(from https://demo.dashboardpack.com/finance-html/index.html)
00:09:37	8332/8332	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:43:43%20GMT	https://demo.dashboardpack.com/finance-html/apex_chart.html	D:/web%20ca%20nhan%20ban%20hang/adminWeb/demo.dashboardpack.com/finance-html/apex_chart.html	(from https://demo.dashboardpack.com/finance-html/index.html)
00:09:37	9751/9751	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:43:44%20GMT	https://demo.dashboardpack.com/finance-html/chart_sparkline.html	D:/web%20ca%20nhan%20ban%20hang/adminWeb/demo.dashboardpack.com/finance-html/chart_sparkline.html	(from https://demo.dashboardpack.com/finance-html/index.html)
00:09:37	461/461	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22632db81f-1cd%22	https://demo.dashboardpack.com/finance-html/img/icon/icon_search.svg	D:/web%20ca%20nhan%20ban%20hang/adminWeb/demo.dashboardpack.com/finance-html/img/icon/icon_search.svg	(from https://demo.dashboardpack.com/finance-html/index.html)
00:09:37	1348/1348	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22632db81f-544%22	https://demo.dashboardpack.com/finance-html/img/icon/bell.svg	D:/web%20ca%20nhan%20ban%20hang/adminWeb/demo.dashboardpack.com/finance-html/img/icon/bell.svg	(from https://demo.dashboardpack.com/finance-html/index.html)
00:09:37	1343/1343	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22632db820-53f%22	https://demo.dashboardpack.com/finance-html/img/icon/msg.svg	D:/web%20ca%20nhan%20ban%20hang/adminWeb/demo.dashboardpack.com/finance-html/img/icon/msg.svg	(from https://demo.dashboardpack.com/finance-html/index.html)
00:09:38	6906/6906	---M--	200	added ('OK')	image/png	etag:%22632db81c-1afa%22	https://demo.dashboardpack.com/finance-html/img/client_img.png	D:/web%20ca%20nhan%20ban%20hang/adminWeb/demo.dashboardpack.com/finance-html/img/client_img.png	(from https://demo.dashboardpack.com/finance-html/index.html)
00:09:38	89501/89501	---MCZ	200	added ('OK')	application/javascript	etag:W/%22632db82f-15d9d%22	https://demo.dashboardpack.com/finance-html/js/jquery1-3.4.1.min.js	D:/web%20ca%20nhan%20ban%20hang/adminWeb/demo.dashboardpack.com/finance-html/js/jquery1-3.4.1.min.js	(from https://demo.dashboardpack.com/finance-html/index.html)
00:09:40	18600/18600	---MCZ	200	added ('OK')	application/javascript	etag:W/%22632db82f-48a8%22	https://demo.dashboardpack.com/finance-html/js/popper1.min.js	D:/web%20ca%20nhan%20ban%20hang/adminWeb/demo.dashboardpack.com/finance-html/js/popper1.min.js	(from https://demo.dashboardpack.com/finance-html/index.html)
00:09:40	60095/60095	---MCZ	200	added ('OK')	application/javascript	etag:W/%22632db82c-eabf%22	https://demo.dashboardpack.com/finance-html/js/bootstrap1.min.js	D:/web%20ca%20nhan%20ban%20hang/adminWeb/demo.dashboardpack.com/finance-html/js/bootstrap1.min.js	(from https://demo.dashboardpack.com/finance-html/index.html)
